name,candidate_id,age,gender,no_children,emp_card_id
Juan Franklin,907795,52.0,Male,,9058
Amy Valdez,943935,25.0,Female,0,
Timothy Schrock,897065,58.0,Male,2,5829
Robert Ward,939157,37.0,Male,2,
Donald Richards,916440,47.0,Male,1,
Irene Williams,905003,44.0,Male,2,
Jessica Stern,899004,49.0,Male,1,8491
Peter Davis,907868,47.0,Male,,3320
Jonathan Faust,929300,28.0,Female,2,
David Cox,912326,45.0,Male,1,
Elvis Speis,903813,33.0,Male,1,
Timothy Schiffelbein,921727,25.0,Female,0,
Naomi Park,928963,31.0,Female,2,248
Stephanie Kimmes,899583,58.0,Male,2,5420
Flossie Griffith,920040,33.0,Female,0,
Sabra Bush,911826,29.0,Male,3,
Robert Pierre,936000,22.0,Female,2,
Dick Betzer,924486,45.0,Male,2,4889
Diane Hill,931052,27.0,Female,0,
Thomas Burkhart,920567,22.0,Female,0,
Matthew Ponce,923142,20.0,Female,0,
Shirley Etkin,900739,58.0,Male,1,6980
Joseph Wright,943241,20.0,Female,0,
Jessica James,912236,44.0,Male,,
Christine Evers,934961,44.0,Female,2,1360
Fred Duda,934964,44.0,Female,2,3704
Tracey Garza,915034,42.0,Male,1,
Florence Bank,914450,49.0,Male,2,9787
Mary Russell,924290,52.0,Male,,2739
Mary Stokes,897763,45.0,Male,1,4151
Howard Lloyd,934867,43.0,Female,2,8484
Albert Kean,904236,32.0,Male,2,
Brian Gordon,905639,30.0,Female,2,2396
Jeremy Clark,924213,51.0,Male,1,1945
Timothy Laman,927807,41.0,Male,,
John Lewis,902163,40.0,Male,0,
Rita Bonds,922350,34.0,Female,0,
Corinne Ford,912204,35.0,Male,2,
Eric Griffin,918325,42.0,Female,2,9746
Matthew Arnold,941475,36.0,Male,3,
Lawanda Rivera,916190,38.0,Male,1,
Timothy Miller,925306,37.0,Male,2,
John Eliezrie,898589,53.0,Male,2,5744
Alexander Arakaki,905717,42.0,Female,2,
Steven Familia,919132,24.0,Female,0,
Ashley Smith,923759,40.0,Male,2,8208
Kristi Hudson,913697,43.0,Male,3,877
Eileen Robles,929734,24.0,Female,0,
Daniel Wallin,900608,50.0,Male,1,5067
Sam Mora,927869,30.0,Female,2,8979
Regina Anderson,922456,36.0,Female,0,
Kimberly Ackley,930916,27.0,Female,0,
Joel Anderson,926203,24.0,Male,1,
Courtney Watson,927055,33.0,Male,1,
Jenny Samuels,927695,42.0,Male,1,
Lee Swindler,898531,57.0,Male,1,1951
Wanda Bush,912785,46.0,Male,2,
Yolanda Johnson,914562,44.0,Male,1,
Gregory Grayson,904638,40.0,Male,0,
Daniel Macnaught,928978,38.0,Female,2,1817
Julio King,920106,30.0,Female,0,
Gary Duquette,926029,39.0,Male,2,
Jean Hughes,909728,49.0,Male,2,6145
Gloria Bradley,921975,24.0,Female,0,
Karen Caine,941819,48.0,Male,0,
Christopher Morris,939672,50.0,Male,,
Dominique Phillips,910354,55.0,Male,2,8969
Kay Odom,902909,49.0,Male,,
Denise Rooney,935789,34.0,Female,0,
Micheal Hossler,901664,60.0,Male,2,5510
Willie Valle,919944,30.0,Female,0,
Bonnie Joyner,919038,28.0,Female,0,
Mark Holmgren,937668,35.0,Female,0,
Terence Bates,905841,36.0,Female,,5422
Kathleen Jones,905651,42.0,Female,1,7980
Frederick Schreimann,936051,33.0,Female,0,
Cherry Cooney,945809,30.0,Female,0,
Michael Parson,923382,51.0,Male,,317
Joyce Campbell,915476,40.0,Male,2,
Isabel Burnett,940112,41.0,Male,3,
Joshua Goodman,937511,35.0,Female,0,
Mary Brown,932709,36.0,Male,1,
Paul Marquez,903566,42.0,Male,,
Lydia Miner,901076,57.0,Male,1,2094
Wanda Gillman,920719,32.0,Female,0,
Alberta Montoya,938496,55.0,Male,1,
Charles Genet,902413,42.0,Male,2,
Ellen Mcmillan,912677,43.0,Male,1,
Doris Lasley,924090,56.0,Male,2,8215
Lula Valle,917825,42.0,Female,1,1094
Norman Bello,927921,46.0,Female,1,9727
Paul Chapman,919439,27.0,Female,0,
Dirk Breedon,907710,52.0,Male,,7751
Marian Roy,919962,38.0,Female,0,
David Jack,924855,47.0,Male,,
Richard Bullock,896829,45.0,Male,1,5550
Mia Skursky,941660,41.0,Male,,
Frank Zaleski,918538,42.0,Female,1,4619
John Bailey,940176,39.0,Male,2,
Lee Williamson,905447,44.0,Male,1,
Leslie Ard,913686,52.0,Male,,7210
Sharon Bell,941622,44.0,Male,,
Skye Lovan,939856,41.0,Male,,
Bryan Melendez,944982,30.0,Female,0,
Don Humphrey,910417,55.0,Male,,1035
Paul White,910539,46.0,Male,2,
Keith Woodward,923026,36.0,Female,0,
Eric Buchanan,938169,32.0,Female,0,
Pricilla Evans,931741,37.0,Female,0,
Frances Christopher,916527,49.0,Male,1,
Elizabeth Levy,940741,38.0,Male,,
Mable Adams,911302,34.0,Male,3,
Robin Sears,899661,47.0,Male,,1056
Robert Pena,924028,58.0,Male,2,4641
Mary Rose,913198,52.0,Male,0,6011
Virginia Jones,929433,30.0,Female,0,
Arthur Milton,896882,46.0,Male,2,6863
Andrew Seymour,900332,53.0,Male,2,
Megan Glenn,915297,31.0,Male,0,
James Smith,934350,43.0,Female,2,5252
Dana Waldron,937321,28.0,Female,0,
Donna Hopkins,909989,49.0,Male,1,8200
Kevin Mcguffey,945385,30.0,Female,0,
Richard Le,915394,41.0,Male,2,
Henry Little,940736,41.0,Male,,
Laura Rash,945167,24.0,Female,0,
Tracy Colunga,928698,44.0,Female,0,9588
Patricia Mitchell,935354,29.0,Female,0,
Tarsha Bishop,919604,27.0,Female,0,
Edward Johnson,916338,34.0,Male,,
Lauren Morgan,931621,24.0,Female,0,
Justin Bowman,916492,34.0,Male,0,
Jimmy Lopez,939262,36.0,Male,,
Gail Reed,928264,41.0,Female,1,8679
Maria Hearnen,934940,46.0,Female,1,4072
Melissa Smith,915492,35.0,Male,2,
Ronald Branton,934709,42.0,Female,2,6353
Brett Toevs,900610,50.0,Male,2,1100
Martha Hope,903163,34.0,Male,2,
Leonel Jones,939082,40.0,Male,1,
Tawny Skipper,938351,40.0,Female,0,
Vera Blake,908309,47.0,Male,1,6099
Nicole Sprouse,945364,29.0,Female,2,
Gerald Weiner,938965,39.0,Male,1,
Donald Frisina,942407,39.0,Male,1,
Louis Creech,935484,20.0,Female,0,
Cheryl Bryant,939653,37.0,Male,1,
Isaac Quintero,915091,42.0,Male,1,
Matthew Briggs,913469,46.0,Male,1,1612
Vicki Green,926767,36.0,Male,,
Kelly Chan,928222,36.0,Female,,4095
Lawrence Little,897024,50.0,Male,2,690
Tessie Iverson,938786,44.0,Male,2,
Laura Shell,941512,42.0,Male,2,
Gloria Closson,913544,46.0,Male,1,8248
Teri Lavalette,933782,49.0,Male,,
Homer Rowe,922705,28.0,Female,0,
Peter Roy,933219,41.0,Male,1,
Eugenia Knight,943392,28.0,Female,0,
Marc Chapman,945086,21.0,Female,0,
Lonnie Driever,906060,37.0,Female,2,9090
Vincent Garcia,928550,37.0,Female,1,5821
Pablo Graban,935086,29.0,Female,2,8521
Octavio Babineaux,922319,21.0,Female,0,
Mattie Dolan,931563,31.0,Female,0,
Nettie Anderson,909181,42.0,Male,1,3567
Sheila Waller,896584,45.0,Male,1,5116
Jason Lantrip,932988,30.0,Male,1,
Rebecka Morad,929786,31.0,Female,0,
Charles Hall,940322,34.0,Male,,
Denny Harris,919169,24.0,Female,0,
Ashlee Dominguez,921350,29.0,Female,2,
Brian Abercrombie,901519,45.0,Male,2,7819
Mary Kennedy,899927,53.0,Male,2,5721
Juanita Edwards,904798,45.0,Male,,
Patricia Hinkle,933723,40.0,Male,0,
Cynthia Woods,940916,40.0,Male,3,
Barry Isenberg,919226,32.0,Female,0,
Matthew Matthews,910835,29.0,Male,,
Patsy Carroll,944424,35.0,Female,0,
Ina Twigg,939222,43.0,Male,1,
Theodore Taylor,912554,42.0,Male,,
Robert Hebrank,897489,55.0,Male,,3892
George Feiner,909355,48.0,Male,1,303
Michael Corwin,923763,55.0,Male,1,6923
John Ward,930472,30.0,Female,1,
Charles Smith,910263,48.0,Male,1,6838
Judith Johnson,916307,47.0,Male,1,
Elizabeth Boyer,915902,35.0,Male,,
Phillip Altmiller,930920,30.0,Female,0,
Michael Mclaughlin,910900,45.0,Male,2,
Lori Gonzalez,899530,51.0,Male,1,715
David Colon,933409,38.0,Male,2,
Theodore Knight,921137,24.0,Female,0,
Neil Tisdale,944295,29.0,Female,0,
Millie Werra,926761,36.0,Male,1,
Talisha Viard,939175,35.0,Male,,
Ellsworth Malsam,909816,50.0,Male,1,9032
Tammy Burgett,921660,32.0,Female,0,
Philip Newark,919983,29.0,Female,0,
Kimberly Arredondo,933451,45.0,Male,1,
Diana Lewis,905836,41.0,Female,,2346
Robert Agustin,915813,38.0,Male,1,
Hazel Medina,912445,35.0,Male,2,
Mabel Garoutte,906742,60.0,Male,3,2165
Faith Toms,911359,48.0,Male,1,
Darryl Roney,926488,44.0,Male,2,
Robert Perez,927096,37.0,Male,2,
Suzanne Chambers,904630,40.0,Male,3,
Rogelio Farmer,921245,26.0,Female,2,
Michael White,945786,32.0,Female,0,
Juliet Spencer,919787,28.0,Female,3,
Melvin Killeen,931059,26.0,Female,1,
Charles Darnell,942335,40.0,Male,2,
Valerie Hale,898453,36.0,Male,1,4875
Timothy Bail,929673,31.0,Female,0,
Marina Partridge,903614,39.0,Male,,
Margaret Eliezrie,908252,42.0,Male,2,9009
Robert Hayes,935808,39.0,Female,0,
Mabel Frakes,920658,29.0,Female,0,
Willard Doyle,917373,44.0,Female,2,5638
Gordon Lambert,932510,49.0,Male,,7922
Russell Massey,938552,52.0,Male,,5905
Wesley Davis,934138,38.0,Female,1,4451
Emilia Mitchell,931112,31.0,Female,0,
Hazel Gibson,896958,49.0,Male,2,
Julie Fransen,914097,44.0,Male,0,4177
Raul Donnell,907940,55.0,Male,,1806
Jesus Bennett,927450,38.0,Male,,
Rochelle Browning,945635,23.0,Female,0,
Roger Mckinney,915838,43.0,Male,1,
Earl Raney,930687,32.0,Female,0,
Corey Hunt,899197,50.0,Male,2,7741
Genevieve Otoole,939812,33.0,Male,2,
Emma Yamashiro,929277,39.0,Female,2,885
Annette Ward,902438,39.0,Male,1,
Michael Flores,913078,33.0,Female,0,
Christopher Wood,944233,32.0,Female,0,
Cesar Richardson,896870,47.0,Male,3,6542
Ronald Ausmus,918730,40.0,Female,1,4105
Brenda Scott,901234,56.0,Male,2,7305
Dina Johnson,940333,37.0,Male,1,
Noel Seto,935877,25.0,Female,0,
Marcella Macias,921984,30.0,Female,0,
Clark Hazel,908023,52.0,Male,2,8937
Larry Thomas,897524,58.0,Male,1,7517
Darryl King,902009,46.0,Male,2,3552
Norman Marable,910442,46.0,Male,3,2116
Justin Backhaus,923166,20.0,Female,0,
Laura Skowron,919893,33.0,Female,0,
Leslie Herrera,941157,33.0,Male,,
Elizabeth Axtell,934788,34.0,Female,0,3909
Mary Deleon,930181,22.0,Female,0,
Richard Nunn,945797,30.0,Female,0,
Margaret Rothfuss,944663,36.0,Female,3,
John Skipper,916608,33.0,Male,1,
Bernice Beer,915123,45.0,Male,2,
Alice Lamboy,946181,27.0,Female,0,
Clarence Fields,918184,38.0,Female,1,5329
Elizabeth Roberts,898652,48.0,Male,2,5897
James Thompson,930290,31.0,Female,0,
Barbara Klein,926759,46.0,Male,2,
Kristopher Shrum,936827,28.0,Female,0,
Brittany Green,901301,48.0,Male,1,
Albert Allen,932642,38.0,Male,1,
Andrew Greene,899769,52.0,Male,2,7530
Sandra Rupp,932523,52.0,Male,,5327
David Schleider,937188,25.0,Female,1,
Isaac Ho,905810,39.0,Female,,9933
Claretta Jensen,920640,32.0,Female,0,
Silas Wiseman,908866,51.0,Male,2,1447
Elizabeth Mejia,908947,44.0,Male,1,5613
Donna Morrison,920699,29.0,Female,0,
Linda Kuhn,910074,52.0,Male,1,9015
Joseph Hamilton,909408,48.0,Male,3,1680
Charles Evans,915945,45.0,Male,,
Bobby Gahan,917391,40.0,Female,1,6975
Damon Leslie,899444,50.0,Male,2,3688
Amber Theus,900877,50.0,Male,2,6094
Corey Kirkwood,930843,34.0,Female,0,
Sandra Hare,946213,33.0,Female,0,
Arthur Minard,924363,52.0,Male,1,2578
Shameka Eckert,944482,24.0,Female,0,
Dennis Mays,924060,43.0,Male,2,4060
Keith Anderson,896662,48.0,Male,2,
Chase Hooker,900706,55.0,Male,2,4581
Freddie Pujols,901932,50.0,Male,3,4281
Shawn Hayes,905765,29.0,Female,1,7927
Marilyn Martin,940678,35.0,Male,2,
Frank Varney,921561,34.0,Female,0,
John Reilly,944104,36.0,Female,0,
Henry Hernandez,935942,28.0,Female,0,
Kristen Brown,926496,42.0,Male,1,
Elizabeth Ethington,916159,36.0,Male,2,
Gerardo Maille,938983,42.0,Male,1,
Jillian Lemmon,896750,46.0,Male,1,4486
Kevin Woods,898154,52.0,Male,1,577
Charles Juliana,944504,25.0,Female,0,
Joseph Rodriquez,910122,56.0,Male,,1827
Rebecca Bergeron,918197,44.0,Female,,8036
Wilma Mcdowell,937090,34.0,Female,0,
John Henderson,898433,42.0,Male,,2667
Lily Miller,935430,26.0,Female,0,
John Presson,942378,34.0,Male,1,
Willard Ayala,914786,38.0,Male,2,
Lonnie Morse,936693,26.0,Female,0,
John Eaton,912639,39.0,Male,1,
Rosalie Levy,902358,33.0,Male,2,
Shirlee Spencer,940535,48.0,Male,1,
Mary Decker,918916,41.0,Female,1,4139
Dennis Stallworth,911741,41.0,Male,3,
Marisa Ressler,936899,22.0,Female,0,
Robert Stewart,915474,32.0,Male,2,
Tanya Ivey,917633,33.0,Female,1,5535
Migdalia Arzola,919909,27.0,Female,0,
Christopher Savage,906494,44.0,Female,1,2744
Matthew Bertram,930510,24.0,Female,0,
Matthew Mcmunn,932749,41.0,Male,1,
Kieth Miller,931325,25.0,Female,2,
Joseph Early,938371,33.0,Female,0,
Jennifer Mayer,941405,37.0,Male,2,
Marge Leblanc,921514,33.0,Female,0,
Kenneth Lawson,922937,21.0,Female,0,
Angela Frew,912797,32.0,Male,1,
Christie Wigginton,913935,51.0,Male,1,1026
Lori Caldwell,938834,49.0,Male,1,
Edward Jenkins,938907,45.0,Male,1,
Ramona Purdom,929872,23.0,Female,0,
Demetrius South,906705,33.0,Female,0,
Rosalia Villarreal,930788,21.0,Female,0,
Damian Counts,930691,29.0,Female,0,
Nena Whittman,906399,45.0,Female,,
Angela Lara,911170,26.0,Male,2,
Raymond Marshall,909407,46.0,Male,2,1307
Donald Abbott,925461,33.0,Male,2,
Edward Chance,931509,29.0,Female,0,
Florence Bailey,899238,41.0,Male,2,9356
Jeffrey Canas,918386,35.0,Female,0,5450
Gladis Sweat,945520,33.0,Female,0,
Roy Gayer,927978,42.0,Female,2,1272
Jerry Lally,898363,45.0,Male,2,4228
Billy Fiscus,897226,48.0,Male,1,4171
Maude Walker,914175,53.0,Male,1,6635
Mindy Ekberg,903920,36.0,Male,1,
Robert Drew,900961,59.0,Male,2,4760
Robert Reese,945239,26.0,Female,0,
Nathan Hidalgo,906528,31.0,Female,0,
Stefanie Stephens,923169,33.0,Female,0,
Jason Bradshaw,901583,53.0,Male,3,
Rose Wallace,919426,19.0,Female,0,
Shawn Santos,943175,24.0,Female,0,
Rosemary Gardner,928021,46.0,Female,,2802
Daniel Perez,921861,30.0,Female,0,
Glenn West,911339,38.0,Male,2,
Donald Rocha,909112,46.0,Male,1,
Sarah Myers,915026,29.0,Male,2,
Marianna Rice,924448,48.0,Male,,
Joseph Tyler,930809,27.0,Female,0,
Samuel Simon,918748,37.0,Female,1,1670
Genevieve Servin,923164,33.0,Female,0,
Kathryn Taylor,946202,34.0,Female,0,
Stephanie Brady,930758,34.0,Female,0,
Christopher Paul,922927,35.0,Female,0,
Corinne Brown,944665,34.0,Female,0,
Harold Fedor,929592,33.0,Female,0,
Allen Young,930855,38.0,Female,0,
Suzanne Peters,942230,35.0,Male,1,
Marvin Delmonte,915264,35.0,Male,2,
Nicholas Gipson,926382,42.0,Male,1,
Joe Aguirre,896966,55.0,Male,3,8039
Thanh Murry,913684,47.0,Male,2,2560
Stacie Buckley,902629,27.0,Male,2,
Anna Jaramillo,900297,57.0,Male,1,152
Geraldine Gregory,932280,55.0,Male,2,7135
John Mallard,940890,50.0,Male,2,
Allen May,913024,43.0,Female,2,4211
Henry Berrios,944505,33.0,Female,0,
Kathryn Ruiz,940104,41.0,Male,2,
Bronwyn Rushing,926359,46.0,Male,2,
Peter Critchlow,902782,41.0,Male,2,
Jayne Long,901574,45.0,Male,1,
Cynthia Wenz,943937,29.0,Female,0,
Jason Scott,921394,24.0,Female,0,
Christina Luciano,932263,55.0,Male,2,9279
Princess Guzman,944777,30.0,Female,0,
Michael Mellow,920073,22.0,Female,0,
Robert Jones,912948,37.0,Female,3,3201
Lauren Ellis,914685,42.0,Male,2,
Elizabeth Brandon,934113,46.0,Female,1,5096
John Salisbury,939731,36.0,Male,1,
Tiffanie Bergeron,902372,44.0,Male,2,
Tonya Violette,934849,43.0,Female,2,4249
Kim Nurse,914239,43.0,Male,2,9121
Jamie Moore,919301,39.0,Female,0,
Frank Wilson,935440,32.0,Female,0,
Elisa Douthit,946221,28.0,Female,0,
David Nanasy,938946,39.0,Male,1,
Walter Vanwagner,898621,52.0,Male,1,3837
Amparo Clinton,932141,50.0,Male,2,8992
Marion Mcalister,923933,54.0,Male,2,7347
Stacey Lundborg,898211,49.0,Male,1,4329
Lucille Kornreich,942236,38.0,Male,1,
Robin Corbitt,897336,51.0,Male,2,4296
Antonio Woodard,934178,49.0,Female,2,6336
Billy Whitaker,935314,36.0,Female,0,
Alice Adkins,942129,43.0,Male,,
Eric Lewis,927232,41.0,Male,2,
Barbara Rodriguez,916211,39.0,Male,2,
Kyle Pardue,902396,41.0,Male,2,
Nora Turner,903215,34.0,Male,,
Carl Hood,915617,36.0,Male,2,
Earl Boyles,927605,34.0,Male,1,
Mervin Hiles,919418,21.0,Female,1,
Peggy Brown,913957,57.0,Male,2,5467
Dona Esposito,907487,49.0,Male,1,5124
Joshua Rice,936246,31.0,Female,2,
Michael Clark,905244,41.0,Male,1,
Margaret Smith,942580,48.0,Female,1,8221
Delphine Atkins,899897,46.0,Male,1,176
Robert Henderson,934311,41.0,Female,2,6824
Charles Haven,939772,37.0,Male,1,
James Trilling,940341,43.0,Male,2,
Connie Quimby,940782,41.0,Male,1,
Connie Thomas,936039,34.0,Female,1,
Jamel Groce,913044,37.0,Female,1,4308
William Babin,933006,35.0,Male,0,
Linda Lemoyne,945623,26.0,Female,0,
Mary Echevarria,914384,50.0,Male,0,5832
Daniel Johnson,912501,31.0,Male,0,
Jesse Squires,934461,37.0,Female,1,4073
Jessica Phelps,923928,53.0,Male,0,1415
Tami Laura,896624,36.0,Male,,1763
Carol Morton,944537,33.0,Female,0,
Everett Snyder,903235,41.0,Male,1,
Hazel Haig,924057,50.0,Male,1,916
Carol Davis,938797,35.0,Male,1,
Robert Perez,912475,43.0,Male,2,
Michael Hill,943463,24.0,Female,,
John Legions,901963,47.0,Male,1,705
Steve Price,900648,50.0,Male,2,8608
Pamela Cruz,897748,56.0,Male,1,
Mercy Anderson,944677,27.0,Female,0,
Matthew Heredia,922516,25.0,Female,0,
Salvatore Martel,944821,30.0,Female,0,
Lucille Wohlenhaus,896841,56.0,Male,2,4212
Alan Sollars,917609,45.0,Female,,4302
Thomas Mcbain,901807,47.0,Male,1,518
John Stovall,922918,26.0,Female,0,
Cecil Foster,920046,31.0,Female,,
Joann Hall,903647,38.0,Male,,
Emily Brodie,911124,38.0,Male,1,
Cindy Chong,936910,34.0,Female,0,
Gregory Sullivan,946095,32.0,Female,0,
John Scott,927107,48.0,Male,1,
Dorothy Rios,924101,54.0,Male,2,9757
Mary Uriarte,901064,46.0,Male,1,6692
Florence Morse,926178,31.0,Male,1,
Marlene Bebout,917891,38.0,Female,2,819
Joseph Nance,942923,23.0,Female,,
Martha Page,911740,33.0,Male,,
Betty Baker,933486,32.0,Male,,
Carole Loos,931071,32.0,Female,0,
Eddie Gullett,942864,35.0,Female,0,
Donald Locke,944758,33.0,Female,0,
Carol Dunbar,928004,27.0,Female,1,6870
Susan Watson,924010,53.0,Male,1,4306
Adam Burt,906921,51.0,Male,,
Evelyn Cress,939774,53.0,Male,2,
Matthew Smtih,925564,42.0,Male,1,
Steven Miller,898822,42.0,Male,2,4854
Thomas Weist,912931,45.0,Female,1,837
Bryan Maddox,946151,38.0,Female,0,
Edward Bell,910668,41.0,Male,,
Wayne Comacho,909759,48.0,Male,1,5989
Patsy Cochran,938222,38.0,Female,1,
Julie Haley,943471,33.0,Female,0,
Adam Hargrove,946189,30.0,Female,0,
Timothy Carnes,909894,49.0,Male,2,6979
Ryan Summer,913420,54.0,Male,1,2167
Jack Price,905555,37.0,Female,1,9941
Spring Smith,905638,46.0,Female,2,99
Patricia Dye,945472,36.0,Female,0,
Ramona Crawford,904064,49.0,Male,2,
Elias Bailey,907334,58.0,Male,3,6108
Maureen Burt,923654,54.0,Male,1,4993
Eric Henry,906135,36.0,Female,2,
Valencia Mauney,897214,55.0,Male,2,4131
George Conner,940041,36.0,Male,,
Wendy Hickey,935220,27.0,Female,0,
Robert Malton,924702,46.0,Male,,
Michael Aponte,916882,43.0,Female,2,807
Fred Lancaster,911118,38.0,Male,1,
Amy Ayers,903595,32.0,Male,1,
Margaret Harris,920908,31.0,Female,0,
John Ralston,937361,24.0,Female,0,
Christopher Dickhoff,918569,39.0,Female,,5519
Kathleen Ramirez,926730,35.0,Male,2,
Mark Miller,936114,30.0,Female,0,
Jennifer Thompson,920258,21.0,Female,0,
Kenneth Christianson,930144,30.0,Female,0,
Lorraine Conrow,938739,37.0,Male,2,
Alicia Justus,937866,26.0,Female,0,
Gloria Smith,943168,34.0,Female,0,
Christopher Benson,917536,33.0,Female,1,5060
Katina Moscowitz,912244,40.0,Male,3,
Maria Cathey,942023,36.0,Male,1,
Patricia Kaneta,932103,54.0,Male,1,627
Adele Strand,925355,32.0,Male,2,
Wallace Loudermilk,941399,40.0,Male,,
Hugo Kerns,912995,35.0,Female,2,1510
Michael Cosby,942040,38.0,Male,2,
Janis Olewine,907065,50.0,Male,1,874
Eric Wellman,911594,45.0,Male,2,
Michael Borowski,898956,37.0,Male,1,8495
John Menist,940823,35.0,Male,,
Charles Paisley,918506,36.0,Female,2,7294
Natasha Stewart,911855,35.0,Male,2,
Andrea Drahota,906818,51.0,Male,,71
Gilbert Deal,942098,34.0,Male,1,
Brian Jenkins,925921,45.0,Male,,
Alton Dirden,914525,40.0,Male,2,
Maria Oden,904174,30.0,Male,2,
Joshua Lacayo,928537,38.0,Female,2,6331
Amber Brooks,906187,35.0,Female,2,6999
Ray Dubois,927754,38.0,Male,2,
Anthony Buchauer,922453,30.0,Female,0,
Annie Contreras,905879,33.0,Female,2,5848
Irene Tsang,930173,29.0,Female,0,
Randy Maynard,899478,42.0,Male,1,8837
Scott Turner,899149,54.0,Male,2,2308
Nancy Cowan,925156,42.0,Male,2,
James Smith,909600,61.0,Male,2,6732
Janette Tate,916709,46.0,Male,0,
Robert Shelton,911966,30.0,Male,2,
Fred Gutierrez,901674,55.0,Male,2,5915
John Riley,915942,38.0,Male,0,
Lillian Liebsch,936568,47.0,Female,0,
Luis Walker,924602,56.0,Male,1,9433
Charlene Holding,930850,30.0,Female,0,
James Peterson,926757,43.0,Male,1,
Mattie Bailey,931875,40.0,Female,0,
Cedric Meyer,931404,32.0,Female,0,
Jose Manser,941492,36.0,Male,2,
David Hacker,937436,35.0,Female,,
Gladys Smith,924305,50.0,Male,1,1445
Kathleen Hernandez,911158,36.0,Male,,
Helen Burden,913672,44.0,Male,2,877
Joseph Taylor,919473,35.0,Female,0,
Laura Lawson,908153,48.0,Male,1,1035
Donna Hillegas,939863,45.0,Male,1,
Jared Brown,926781,38.0,Male,1,
James Cazier,926294,49.0,Male,2,
Becky Soto,940868,38.0,Male,2,
Ada Komar,928293,45.0,Female,0,1476
Thomas Parker,914124,59.0,Male,,7632
Zachary Wangberg,922641,29.0,Female,0,
Jason Perez,942113,34.0,Male,2,
Karen Mcquade,900099,39.0,Male,1,9822
Martha Traylor,934551,39.0,Female,3,0
Tammy Maddox,930910,18.0,Female,0,
Stephanie Rodgers,933560,49.0,Male,1,
Ralph Gonzalez,919630,26.0,Female,0,
Vernon Burns,898404,50.0,Male,,1681
June Shafer,911166,46.0,Male,2,
Steven Eaton,897392,50.0,Male,2,705
Elbert Mcomber,940545,46.0,Male,2,
Theresa Lopez,929305,31.0,Female,0,
Douglas Shannon,914553,39.0,Male,,
Barney Rances,934595,40.0,Female,2,4033
Christina Rishel,903499,43.0,Male,1,
Ruth Keough,927210,46.0,Male,2,
Roger Bice,906609,26.0,Female,0,
Alice Fiume,900273,43.0,Male,1,3945
Tawana Grimes,918872,32.0,Female,1,1922
Jay Crim,907918,54.0,Male,,4807
Stephen Dee,937640,22.0,Female,0,
Nicole Shapiro,933800,35.0,Male,2,
Gary Fechtner,904768,36.0,Male,2,
Marie Powell,899081,62.0,Male,3,
Francisco Conley,920370,38.0,Female,0,
Joni Nightingale,920997,26.0,Female,0,
Margaret Smith,901669,51.0,Male,1,2497
Gregory Stutes,924707,43.0,Male,0,
Jackie Davis,924161,56.0,Male,1,7828
Terri Weaver,940672,43.0,Male,,
Claude Cook,941540,31.0,Male,,
Dorothy Nadal,939199,42.0,Male,2,
Alice Wright,907046,48.0,Male,1,3882
Samantha Messer,933168,41.0,Male,2,
Melissa Leffew,938025,17.0,Female,0,
Norman Stanford,928966,34.0,Female,1,
James Mayes,914992,36.0,Male,,
Dena Rodriguez,936426,28.0,Female,0,
Christopher Vanvalkenburg,901829,54.0,Male,,982
Leona Anderson,897624,43.0,Male,,728
Harold Greene,913738,46.0,Male,2,4709
Grace Walls,942765,38.0,Female,0,
Deborah Beatty,920226,36.0,Female,0,
Edmund Spence,926909,49.0,Male,2,
Lucy Silberman,917575,37.0,Female,2,2704
Amanda Maney,905273,41.0,Male,2,
Patricia Evanich,918518,47.0,Female,2,9182
Mario Adams,924040,50.0,Male,,815
James White,940262,30.0,Male,1,
Rose Rothhaupt,904384,34.0,Male,,
John Campbell,911538,34.0,Male,,
Todd Wojciak,899286,59.0,Male,2,3811
Gene Sawyers,918247,40.0,Female,1,3696
Dawn Broussard,944363,38.0,Female,0,
Beverly Kin,933008,40.0,Male,,
Barbara Brinkerhoff,942626,40.0,Female,2,6763
Alfred Dozier,924834,44.0,Male,1,
Jonathan Bradford,933259,43.0,Male,2,
Kenneth Siegel,898306,43.0,Male,2,7910
Melanie Price,911630,36.0,Male,2,
Jose Thomson,931068,30.0,Female,0,
Mathew Stockton,917421,42.0,Female,0,7424
Sean Darby,946200,37.0,Female,0,
Howard Friday,898005,48.0,Male,,2731
Janet Westphal,937534,30.0,Female,0,
Dianne Petti,908648,48.0,Male,2,9849
Cynthia Cruz,914641,38.0,Male,,
Linda Peterson,905276,38.0,Male,2,
Vanessa Glaude,920516,29.0,Female,0,
Eddie Campbell,933103,37.0,Male,2,
Shelley Oshea,926613,42.0,Male,1,
Traci Rollins,905434,45.0,Male,1,
Damon Lupo,900737,57.0,Male,,4554
Ann Hixon,902418,55.0,Male,2,
Everett Jones,911915,42.0,Male,2,
Donna Baca,919462,25.0,Female,0,
Wayne Bartoszek,940492,32.0,Male,,
Charles Perez,897874,52.0,Male,1,4303
Lois Sola,913669,43.0,Male,1,
Tim Burr,924547,45.0,Male,,8670
Kari Garcia,939194,47.0,Male,1,
James Garcia,902202,34.0,Male,2,
Gwendolyn Vaux,923729,49.0,Male,1,3119
Gale Colwell,916421,46.0,Male,1,
Joaquin Holiday,934286,43.0,Female,,
